"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","","99","OTHER COUNTIES","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","428,200","0.1","418,490","0.4","80,727,000","1.1","192.9","1"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","BARTHOLOMEW","005","","","00000000","","CORN","TOTAL","NOT SPECIFIED","51,600","0.1","50,600","0.9","9,371,000","3.1","185.2","3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","BOONE","011","","","00000000","","CORN","TOTAL","NOT SPECIFIED","83,000","0.1","81,100","1.1","15,831,000","2.5","195.2","2.3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","CLINTON","023","","","00000000","","CORN","TOTAL","NOT SPECIFIED","106,500","0.7","104,500","1.2","20,931,000","2.1","200.3","1.7"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","DECATUR","031","","","00000000","","CORN","TOTAL","NOT SPECIFIED","75,800","0.1","74,100","1","15,442,000","2.5","208.4","2.3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","GRANT","053","","","00000000","","CORN","TOTAL","NOT SPECIFIED","74,600","0.1","73,900","1.1","13,583,000","3.5","183.8","3.3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","HAMILTON","057","","","00000000","","CORN","TOTAL","NOT SPECIFIED","47,700","0.2","47,000","1.1","8,155,000","5.1","173.5","5"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","HANCOCK","059","","","00000000","","CORN","TOTAL","NOT SPECIFIED","54,700","0.1","53,500","1.1","9,956,000","2.4","186.1","2.2"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","HENDRICKS","063","","","00000000","","CORN","TOTAL","NOT SPECIFIED","59,900","0.2","59,600","1","12,027,000","3.6","201.8","3.4"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","HOWARD","067","","","00000000","","CORN","TOTAL","NOT SPECIFIED","63,500","0.1","63,100","1.1","13,359,000","2.4","211.7","2.2"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","JOHNSON","081","","","00000000","","CORN","TOTAL","NOT SPECIFIED","34,800","0.2","34,200","1.1","6,221,000","4.1","181.9","4"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","MADISON","095","","","00000000","","CORN","TOTAL","NOT SPECIFIED","83,600","0.1","82,700","1","15,903,000","2.4","192.3","2.1"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","MORGAN","109","","","00000000","","CORN","TOTAL","NOT SPECIFIED","33,400","0.2","32,600","1.1","6,201,000","2.4","190.2","2.1"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","RUSH","139","","","00000000","","CORN","TOTAL","NOT SPECIFIED","103,500","0.5","102,500","1.2","20,029,000","2.2","195.4","1.9"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","SHELBY","145","","","00000000","","CORN","TOTAL","NOT SPECIFIED","87,700","0.1","86,900","0.8","17,102,000","1.7","196.8","1.4"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","CENTRAL","50","TIPTON","159","","","00000000","","CORN","TOTAL","NOT SPECIFIED","68,200","0.1","66,700","1.1","13,674,000","2.4","205","2.2"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","EAST CENTRAL","60","BLACKFORD","009","","","00000000","","CORN","TOTAL","NOT SPECIFIED","30,100","1.3","29,400","1.6","5,383,000","2.6","183.1","2"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","EAST CENTRAL","60","DELAWARE","035","","","00000000","","CORN","TOTAL","NOT SPECIFIED","67,900","0.2","66,400","1","12,244,000","3.7","184.4","3.5"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","EAST CENTRAL","60","FAYETTE","041","","","00000000","","CORN","TOTAL","NOT SPECIFIED","34,400","0.5","33,600","1.2","6,212,000","3.5","184.9","3.3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","EAST CENTRAL","60","HENRY","065","","","00000000","","CORN","TOTAL","NOT SPECIFIED","69,700","0.2","67,900","1.1","12,575,000","3.2","185.2","3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","EAST CENTRAL","60","JAY","075","","","00000000","","CORN","TOTAL","NOT SPECIFIED","76,500","0.1","75,200","1.1","13,912,000","2.1","185","1.8"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","EAST CENTRAL","60","RANDOLPH","135","","","00000000","","CORN","TOTAL","NOT SPECIFIED","104,500","0.4","103,000","1","18,808,000","3.1","182.6","3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","EAST CENTRAL","60","UNION","161","","","00000000","","CORN","TOTAL","NOT SPECIFIED","31,100","0.8","30,100","1.4","5,891,000","3.1","195.7","2.7"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","EAST CENTRAL","60","WAYNE","177","","","00000000","","CORN","TOTAL","NOT SPECIFIED","59,300","0.1","57,900","1.1","10,497,000","2.4","181.3","2.1"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTH CENTRAL","20","CARROLL","015","","","00000000","","CORN","TOTAL","NOT SPECIFIED","89,100","0.2","87,100","1.1","17,734,000","2.3","203.6","2"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTH CENTRAL","20","CASS","017","","","00000000","","CORN","TOTAL","NOT SPECIFIED","93,500","0.3","91,400","1.1","17,759,000","3.2","194.3","3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTH CENTRAL","20","ELKHART","039","","","00000000","","CORN","TOTAL","NOT SPECIFIED","47,700","3.5","40,500","4.3","8,116,000","5.2","200.4","2.9"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTH CENTRAL","20","KOSCIUSKO","085","","","00000000","","CORN","TOTAL","NOT SPECIFIED","101,000","0.5","98,000","1.2","18,728,000","2.8","191.1","2.5"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTH CENTRAL","20","MARSHALL","099","","","00000000","","CORN","TOTAL","NOT SPECIFIED","87,700","0.2","83,700","1.2","16,204,000","2.6","193.6","2.3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTH CENTRAL","20","MIAMI","103","","","00000000","","CORN","TOTAL","NOT SPECIFIED","69,400","0.4","67,800","1.1","12,889,000","2.4","190.1","2.1"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTH CENTRAL","20","ST. JOSEPH","141","","","00000000","","CORN","TOTAL","NOT SPECIFIED","62,000","0.8","60,600","1.4","10,096,000","5.1","166.6","4.9"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTH CENTRAL","20","WABASH","169","","","00000000","","CORN","TOTAL","NOT SPECIFIED","75,400","0.3","73,800","1","14,369,000","3.1","194.7","2.9"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHEAST","30","ADAMS","001","","","00000000","","CORN","TOTAL","NOT SPECIFIED","61,300","0.2","59,700","1.6","11,140,000","3.8","186.6","3.5"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHEAST","30","ALLEN","003","","","00000000","","CORN","TOTAL","NOT SPECIFIED","73,300","0.2","71,600","1.1","13,225,000","3.2","184.7","3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHEAST","30","DE KALB","033","","","00000000","","CORN","TOTAL","NOT SPECIFIED","44,800","1","43,200","1.4","8,061,000","2.2","186.6","1.7"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHEAST","30","HUNTINGTON","069","","","00000000","","CORN","TOTAL","NOT SPECIFIED","65,100","0.2","63,600","1.1","11,804,000","3.6","185.6","3.4"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHEAST","30","LAGRANGE","087","","","00000000","","CORN","TOTAL","NOT SPECIFIED","42,500","1.5","40,400","1.9","7,224,000","5.3","178.8","5"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHEAST","30","NOBLE","113","","","00000000","","CORN","TOTAL","NOT SPECIFIED","60,900","0.2","59,500","1.1","11,858,000","3.9","199.3","3.7"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHEAST","30","STEUBEN","151","","","00000000","","CORN","TOTAL","NOT SPECIFIED","40,600","1.9","39,700","2.1","7,071,000","2.3","178.1","0.8"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHEAST","30","WELLS","179","","","00000000","","CORN","TOTAL","NOT SPECIFIED","78,300","0.3","76,500","1.1","14,566,000","2.6","190.4","2.3"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHEAST","30","WHITLEY","183","","","00000000","","CORN","TOTAL","NOT SPECIFIED","57,600","0.2","56,300","1.1","10,511,000","2.6","186.7","2.4"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHWEST","10","BENTON","007","","","00000000","","CORN","TOTAL","NOT SPECIFIED","119,500","0.1","116,800","1.1","24,865,000","2.2","212.9","1.9"
"SURVEY","2022","YEAR","","COUNTY","INDIANA","18","NORTHWEST","10","JASPER","073","","","00000000","","CORN","TOTAL","NOT SPECIFIED","142,000","0.8","135,000","1.4","24,800,000","4.1","183.7","3.9"
